ID_state|state|state_n|city|city_n|age|client_income|appraisal_value|asset_market_value|mar_2_app|app_2_inc|mar_2_inc|sex_F|condition_U|risk_index|effective_pay|factor_employed|bank_2_home|ratio|vendor_Y|employed_30|antiquity_20|credit_score|lender_score|theta_emp|months_wo_pay|y
28|TAMAULIPAS|1173|ABASOLO|3|38.333333333333336|5.704824154141912|12.640046842232195|12.75804021262734|1.1347371892096252|0.1050971431267161|0.11710370405441156|0.0|0.6666666666666666|2220.3333333333335|29.666666666666668|1.1683333333333332|1.4866971012523658|0.2779666666666667|0.3333333333333333|0.6666666666666666|0.3333333333333333|0.0|132.33333333333334|0.0|0|0
5|CHIAPAS|303|ACALA|3|30.0|5.672129542365227|12.68576342330988|12.857546775079559|1.1852308128718279|0.11157527703718247|0.13273753795146975|0.3333333333333333|0.6666666666666666|2191.3333333333335|15.666666666666666|1.1340000000000001|1.5552677595158941|0.2780666666666667|0.3333333333333333|0.6666666666666666|0.3333333333333333|0.0|132.0|0.3333333333333333|21|1
12|GUANAJUATO|1710|ACAMBARO|4|34.0|5.799759401832058|12.588150916027628|13.010313873595706|1.5699542999262743|0.089065684138803|0.1383755979961593|0.25|1.0|2207.25|31.25|1.27775|1.6704755120661652|0.274075|0.25|0.5|0.5|0.0|135.5|0.0|0|0
31|YUCATAN|529|ACANCEH|1|32.0|5.732168421086395|12.811227967676546|12.834681304952548|1.0237305295769223|0.11868518146513485|0.1215016436742356|1.0|1.0|2208.0|11.0|1.244|1.5000000003412437|0.2943|0.0|1.0|0.0|0.0|133.0|0.0|0|0
5|CHIAPAS|303|ACAPETAHUA|1|34.0|5.72932025844404|12.641099144873294|12.902962812368953|1.2993493867977042|0.1004031713023135|0.13045879906420588|0.0|1.0|2243.0|29.0|1.192|1.748931077804156|0.2714|0.0|0.0|0.0|0.0|139.0|0.0|0|0
18|NAYARIT|201|ACAPONETA|2|45.5|5.736605361448702|12.580690017077735|13.1470559899947|1.7530887527400227|0.09415360485163063|0.16739775070391794|0.0|1.0|2234.0|30.5|1.1645|1.5711823576504045|0.26345|0.0|0.0|0.0|0.0|145.0|0.0|0|0
13|GUERRERO|201|ACAPULCO DE JUAREZ|146|36.38356164383562|6.09897064343586|12.865017059905343|13.160390279196676|1.393949775060437|0.09801758822838198|0.13042167017899933|0.410958904109589|0.4315068493150685|2216.253424657534|27.78082191780822|1.9319452054794521|1.735587235909066|0.26710684931506845|0.5753424657534246|0.3904109589041096|0.4657534246575342|0.2945205479452055|136.67808219178082|0.07534246575342465|67|11
15|JALISCO|2704|ACATIC|4|36.5|5.693195462831377|12.60040145965883|12.821258284620408|1.2456309796072107|0.0999714388815215|0.12450936069558391|0.25|0.25|2227.5|39.5|1.10875|1.4963731670584999|0.2591|0.75|0.0|0.0|0.0|141.25|0.0|0|0
15|JALISCO|2704|ACATLAN DE JUAREZ|10|40.8|5.905539053061283|12.730297370654249|13.054084536651034|1.348976328918885|0.09318734357318574|0.1252981737004742|0.2|0.1|2206.2|29.2|1.4447|1.6496906582582453|0.27758|0.9|0.2|0.1|0.3|137.1|0.1|1|1
14|HIDALGO|326|ACAXOCHITLAN|1|36.0|6.7064066093029515|13.501544303046453|13.620711479659207|1.126558236736782|0.08934922794285367|0.10065710868509403|1.0|0.0|2169.0|44.0|3.09|1.2632868370584818|0.2543|1.0|1.0|1.0|2.0|116.0|0.0|0|0
30|VERACRUZ LLAVE|1293|ACAYUCAN|22|32.40909090909091|5.755963650517888|12.689986234704174|12.808479314430267|1.1255709695785765|0.10413843536616853|0.1167162813805969|0.09090909090909091|0.9545454545454546|2182.9545454545455|27.727272727272727|1.240318181818182|1.6806729046783397|0.2759227272727273|0.13636363636363635|0.6363636363636364|0.6363636363636364|0.09090909090909091|131.5909090909091|0.13636363636363635|13|3
11|ESTADO DE MEXICO|3151|ACOLMAN|15|35.8|5.790326057061819|12.656447195844342|12.904114494300176|1.3071472311615482|0.09644711464544403|0.12412751250758675|0.3333333333333333|0.26666666666666666|2202.5333333333333|29.333333333333332|1.2422000000000002|1.490577414662428|0.26648666666666665|0.7333333333333333|0.4666666666666667|0.4666666666666667|0.13333333333333333|132.93333333333334|0.13333333333333333|8|2
14|HIDALGO|326|ACTOPAN|3|36.666666666666664|6.541531172282984|13.264391007980047|13.534473028231162|1.4701718407786304|0.0791999745518215|0.11412684639326474|0.3333333333333333|0.6666666666666666|2140.0|15.666666666666666|43.92466666666667|1.9999999777137234|0.2751333333333333|0.3333333333333333|0.6666666666666666|0.6666666666666666|0.6666666666666666|145.0|0.0|0|0
30|VERACRUZ LLAVE|1293|ACTOPAN|2|35.0|6.967672544798941|13.334585676353589|13.437174117244362|1.0970960810461297|0.07702845744046506|0.08394021613955313|0.0|0.5|2109.5|13.0|2.903|2.31009642542924|0.22519999999999998|1.0|1.0|1.0|1.0|131.0|0.5|2|1
7|COAHUILA DE ZARAGOZA|1583|ACU#A|41|37.41463414634146|6.176850154899577|12.81812978317074|13.163649966422868|1.4374200644758577|0.08801377889934693|0.12622020574279924|0.34146341463414637|0.7317073170731707|2217.1951219512193|28.317073170731707|3.1903658536585366|1.887704522872412|0.2643634146341464|0.24390243902439024|0.36585365853658536|0.3170731707317073|0.4634146341463415|138.78048780487805|0.0|0|0
